Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,PR-AUC
Logistic Regression,0.9769671008742671,0.0625,0.8783783783783784,0.11669658886894076,0.970154020307898,0.6989692905342594
XGBoost,0.9986774808936952,0.583732057416268,0.8243243243243243,0.6834733893557423,0.9672713777145456,0.8065703839639636
Random Forest,0.9991456292499094,0.7329192546583851,0.7972972972972973,0.7637540453074434,0.9772795290747692,0.7764084539371509
