Threshold,Precision,Recall,F1-score
0.1,0.07170224411603722,0.8851351351351351,0.13265822784810127
0.2,0.2222222222222222,0.8513513513513513,0.35244755244755244
0.3,0.4492753623188406,0.8378378378378378,0.5849056603773585
0.4,0.6,0.8108108108108109,0.6896551724137931
0.5,0.7329192546583851,0.7972972972972973,0.7637540453074434
0.6,0.7816901408450704,0.75,0.7655172413793103
0.7,0.84375,0.7297297297297297,0.782608695652174
0.8,0.8739495798319328,0.7027027027027027,0.7790262172284644
0.9,0.9306930693069307,0.6351351351351351,0.7550200803212851
